caldt,sprtrn
20120109,0.002262
20120110,0.008886
20120111,0.000310
20120112,0.002337
20120113,-0.004948
20120117,0.003553
20120118,0.011108
20120119,0.004939
20120120,0.000669
20120123,0.000471
20120124,-0.001026
20120125,0.008672
20120126,-0.005746
20120127,-0.001593
20120130,-0.002522
20120131,-0.000457
20120201,0.008900
20120202,0.001095
20120203,0.014605
20120206,-0.000424
20120207,0.002023
20120208,0.002160
20120209,0.001474
20120210,-0.006886
20120213,0.006800
20120214,-0.000940
20120215,-0.005383
20120216,0.011026
20120217,0.002349
20120221,0.000720
20120222,-0.003340
20120223,0.004272
20120224,0.001672
20120227,0.001355
20120228,0.003356
20120229,-0.004737
20120301,0.006158
20120302,-0.003246
20120305,-0.003870
20120306,-0.015370
20120307,0.006901
20120308,0.009818
20120309,0.003631
20120312,0.000160
20120313,0.018132
20120314,-0.001196
20120315,0.005967
20120316,0.001119
20120319,0.003974
20120320,-0.003001
20120321,-0.001871
20120322,-0.007207
20120323,0.003109
20120326,0.013886
20120327,-0.002817
20120328,-0.004942
20120329,-0.001608
20120330,0.003698
20120402,0.007505
20120403,-0.003989
20120404,-0.010202
20120405,-0.000629
20120409,-0.011358
20120410,-0.017081
20120411,0.007449
20120412,0.013779
20120413,-0.012475
20120416,-0.000504
20120417,0.015487
20120418,-0.004055
20120419,-0.005934
20120420,0.001169
20120423,-0.008408
20120424,0.003680
20120425,0.013645
20120426,0.006680
20120427,0.002414
20120430,-0.003884
20120501,0.005658
20120502,-0.002497
20120503,-0.007659
20120504,-0.016147
20120507,0.000351
20120508,-0.004279
20120509,-0.006702
20120510,0.002517
20120511,-0.003387
20120514,-0.011113
20120515,-0.005746
20120516,-0.004404
20120517,-0.015051
20120518,-0.007388
20120521,0.016036
20120522,0.000486
20120523,0.001694
20120524,0.001380
20120525,-0.002166
20120529,0.011079
20120530,-0.014335
20120531,-0.002277
20120601,-0.024643
20120604,0.000110
20120605,0.005727
20120606,0.023049
20120607,-0.000106
20120608,0.008114
20120611,-0.012620
20120612,0.011651
20120613,-0.007023
20120614,0.010815
20120615,0.010338
20120618,0.001445
20120619,0.009816
20120620,-0.001686
20120621,-0.022262
20120622,0.007175
20120625,-0.015955
20120626,0.004773
20120627,0.008985
20120628,-0.002110
20120629,0.024920
20120702,0.002459
20120703,0.006232
20120705,-0.004687
20120706,-0.009433
20120709,-0.001639
20120710,-0.008126
20120711,-0.000015
20120712,-0.004987
